date,net_pnl,gross_vega,net_vega,positions,book
2021-04-05,-2279.868269650669,20000.000319345305,500.0000000496532,483,mvo
2021-04-06,-1002.9820012707205,20059.311116336117,678.4038406050399,483,mvo
2021-04-07,11232.082581048799,19764.6474800382,670.3719971042542,483,mvo
2021-04-08,-15249.3094531586,19044.49755891715,506.4818344405395,483,mvo
2021-04-09,8401.517053690106,18522.202568670065,245.85972031893118,483,mvo
2021-04-12,21324.081388900402,20000.00015161335,499.99999996328893,483,mvo
2021-04-13,-651.745726566819,19790.053995286118,516.1249903654572,483,mvo
2021-04-14,-5902.831631847668,19223.654618739518,496.5329932963405,483,mvo
2021-04-15,8870.653789564349,18868.992555108867,620.7173315520623,483,mvo
2021-04-16,-5027.192238846711,18217.36631094776,203.45552276558348,483,mvo
2021-04-19,-5863.47240559592,20000.00026218015,500.000000037024,484,mvo
2021-04-20,28665.663320894615,20073.481758175512,671.7000834009036,484,mvo
2021-04-21,8588.015321166256,19670.90024885249,1102.0827371164166,484,mvo
2021-04-22,-9682.225612886867,20174.672285611094,1680.4626512241837,484,mvo
2021-04-23,-14542.535997154273,18672.98676144751,1556.343919735319,483,mvo
2021-04-26,4696.598622103067,19999.99956881779,500.00000024754985,483,mvo
2021-04-27,-11265.62448137663,21160.800777021625,1880.623185257448,483,mvo
2021-04-28,24914.28135883115,19846.24970112913,1978.4888538582302,483,mvo
2021-04-29,9628.997740286844,19417.064683311088,1981.7393357229546,483,mvo
2021-04-30,510.94788615117983,19514.814593145686,1772.1964948989191,483,mvo
2021-05-03,11000.9073060031,19999.999954256382,500.0000002443057,483,mvo
2021-05-04,7264.223152673237,19490.903117709087,406.5664416917199,483,mvo
2021-05-05,-125.95618851060023,19066.318060391764,276.7658420724219,483,mvo
2021-05-06,-1534.3886748927646,18669.571342473177,438.83665062320256,483,mvo
2021-05-07,-138.0423942323808,18647.688458283454,577.1785597834524,483,mvo
2021-05-10,-4037.077799031681,19999.999635436525,500.00000034688946,483,mvo
2021-05-11,8820.894344566475,19802.023863730454,592.2610767668389,483,mvo
2021-05-12,-590.9991422977657,19203.728706283335,590.2859625805593,483,mvo
2021-05-13,-2961.9288755956545,18965.48296551921,486.26312138889534,483,mvo
2021-05-14,9806.080350221078,18979.93172437266,486.30101140357067,483,mvo
2021-05-17,-8747.965022499242,20000.000869786665,500.0000000376049,484,mvo
2021-05-18,7569.7814551028805,19923.060174939423,591.8933398886003,484,mvo
2021-05-19,2529.2615485985125,19997.43675178462,534.9577044402901,484,mvo
2021-05-20,4011.8877884231747,19907.9802837838,136.24723694767027,484,mvo
2021-05-21,134.23690546082088,19633.740780287193,-64.0191826258088,484,mvo
2021-05-24,-9803.279125487643,20000.000501347153,500.0000086012376,483,mvo
2021-05-25,27501.48387787719,20575.02950114712,246.03205951537737,483,mvo
2021-05-26,-15990.384367156581,19622.75024907825,-384.95414015689136,483,mvo
2021-05-27,5094.3699916849,19346.059834583706,-314.98883694301895,483,mvo
2021-05-28,-52.54433169937535,19087.86781819047,-303.4411807073562,483,mvo
2021-06-01,8739.448004494754,19999.999868382816,500.0000001358718,483,mvo
2021-06-02,10949.799619565745,19772.070824473358,75.2961218552118,483,mvo
2021-06-03,-8416.103167367772,19478.340503612806,413.00107455249815,483,mvo
2021-06-04,-4853.1383299087765,19253.318516227773,592.3953599983358,483,mvo
2021-06-07,36919.2105842601,20000.000092532868,500.00000072419107,483,mvo
2021-06-08,-10221.274555904341,19370.343559109275,686.0946116941328,483,mvo
2021-06-09,8077.627591052149,18740.283391364253,932.579597369232,483,mvo
2021-06-10,1620.0777043328794,18047.19455337794,747.0315781301732,483,mvo
2021-06-11,-9443.78220103391,17780.176812334194,794.169616518171,483,mvo
2021-06-14,-323.441187117329,19999.999221978378,500.00000093641944,483,mvo
2021-06-15,15533.515980826169,20360.403754082996,1434.778651294174,483,mvo
2021-06-16,2814.4950398746632,20189.93426323914,1620.5463016166218,483,mvo
2021-06-17,-9379.237915505963,18801.113410265058,1223.6728990914596,483,mvo
2021-06-18,1385.2888316679619,17718.958079821467,1303.8632082385186,483,mvo
2021-06-21,-9143.91214390703,19999.997504716244,499.9999996868025,483,mvo
2021-06-22,11950.13627612378,22404.539793196,-2618.5030000320176,483,mvo
2021-06-23,-2141.1379947574906,22028.945001733788,-2766.408755496775,483,mvo
2021-06-24,18019.949637858466,22150.616776387236,-2257.2221378877603,483,mvo
2021-06-25,-6634.218920256691,21451.426097996202,-2718.879529258111,483,mvo
2021-06-28,-1253.4009099186037,20000.00077640562,500.0000003424857,500,mvo
2021-06-29,-3489.9742551565546,19703.065728962592,424.30989627111296,500,mvo
2021-06-30,5055.284958533011,19525.37597798024,438.37269979830285,500,mvo
2021-07-01,12071.3562508037,21085.668857392928,2270.7234042403456,500,mvo
2021-07-02,1649.997089446434,20809.222164618288,2348.4691468786245,500,mvo
2021-07-06,-13761.697404616008,19999.9989652011,500.0000013252976,500,mvo
2021-07-07,1133.4413479003158,19445.53405075978,484.6881152853621,500,mvo
2021-07-08,1479.7735415697327,18840.474246752095,304.62656094871835,500,mvo
2021-07-09,298.65486225386115,18965.37289198012,484.6940711157123,500,mvo
2021-07-12,-4054.547566177849,20000.000460481544,500.00000021721826,500,mvo
2021-07-13,9680.092302851417,19278.90595254916,288.6558604977949,500,mvo
2021-07-14,-3753.2748567673248,18913.03718793969,504.5232256437508,500,mvo
2021-07-15,-612.7305975160018,18457.81656642731,73.47628415960732,500,mvo
2021-07-16,2797.675920748348,17670.51745032295,308.9634726190903,500,mvo
2021-07-19,9824.388668881811,19999.99832562773,500.00000022003775,500,mvo
2021-07-20,8953.646447840436,20744.70295461612,910.1542833881604,500,mvo
2021-07-21,8081.905841255653,21143.424669203352,807.4909080367523,500,mvo
2021-07-22,14956.21404787366,20436.74405972294,590.972857083335,500,mvo
2021-07-23,11716.497583190177,19845.47458948429,460.8790281349451,500,mvo
2021-07-26,-46066.49976633452,19999.99972956892,500.00000053609756,500,mvo
2021-07-27,-2217.9923931068292,19244.3463372575,949.820357459606,500,mvo
2021-07-28,12085.185521255777,18145.896078796177,2145.922064357149,500,mvo
2021-07-29,-21554.74870267616,16527.184309650573,2127.740101102108,499,mvo
2021-07-30,774.0284509561699,16180.725852398522,1480.339308105244,499,mvo
2021-08-02,10836.849166006361,20000.000164178044,500.0000002390929,500,mvo
2021-08-03,1532.1111514193751,19494.727536937506,701.0254516453472,500,mvo
2021-08-04,-4134.198272526752,19321.6629340489,446.65554288961033,500,mvo
2021-08-05,3545.115910112929,19154.17980477086,542.6489257194264,500,mvo
2021-08-06,-5311.981328237461,18926.684733091915,568.1095411262746,500,mvo
2021-08-09,-4920.292002912701,20000.000390373658,499.9999999458138,500,mvo
2021-08-10,-17876.721584156418,20137.6641846473,198.36284712603387,500,mvo
2021-08-11,8088.095446001771,19486.686276408018,103.66939090129932,500,mvo
2021-08-12,7567.777977139504,19088.741937168226,373.8609798606174,500,mvo
2021-08-13,-7555.333651012697,18797.814460609286,148.16187859247404,500,mvo
2021-08-16,-2146.990335875331,20000.000073255684,500.0000004638267,500,mvo
2021-08-17,7647.935676289637,20029.514875874112,727.9445560430723,500,mvo
2021-08-18,-3839.4260086793815,19858.0650342691,668.2774465346206,500,mvo
2021-08-19,6360.562819015217,19431.125341140993,204.26361632287123,500,mvo
2021-08-20,-9850.523168432032,19023.71796191134,708.2194164864318,500,mvo
2021-08-23,-2371.034892410561,19999.99970194437,499.99999968778224,500,mvo
2021-08-24,9763.322530078163,19760.877129855537,847.2015442519934,500,mvo
2021-08-25,-6713.727794682705,19552.258992693452,1411.508191108489,500,mvo
2021-08-26,-8907.250141174192,18818.281239990072,970.3041242133824,500,mvo
2021-08-27,7539.071081927459,17892.796861429833,1792.2021933490935,500,mvo
2021-08-30,-11337.747231378746,20000.000155048532,500.00000035979315,500,mvo
2021-08-31,-12307.594348047482,19840.626233160645,370.38782860196324,500,mvo
2021-09-01,507.959546183397,19385.95905238227,544.8056161080264,500,mvo
2021-09-02,287.545844155944,18518.68000466942,1025.1278398167556,500,mvo
2021-09-03,9793.282237742156,17994.206672185283,1122.9561139474035,499,mvo
2021-09-07,-2632.359096037212,19999.994152075113,500.0000008260252,499,mvo
2021-09-08,-2836.6009241594884,21035.166103034255,507.61355317789724,499,mvo
2021-09-09,15594.759954843503,20635.050982386903,559.9794326408091,499,mvo
2021-09-10,-10462.68820605085,20458.71469500578,79.71211186547522,499,mvo
2021-09-13,3599.3689705203283,19937.037542194717,499.99999961820095,499,mvo
2021-09-14,-8654.083601888125,18437.451027118324,273.7525299824569,499,mvo
2021-09-15,15977.501739221327,18601.894233963296,430.50824802004564,499,mvo
2021-09-16,5876.593148885964,17994.444824438793,195.9908333625718,499,mvo
2021-09-17,-5471.443056738608,17638.233017498165,683.7328348506087,499,mvo
2021-09-20,-15402.508778062976,20000.000152341236,499.9999992135283,499,mvo
2021-09-21,-2497.4962067401507,20602.525481465676,-659.5351159507453,499,mvo
2021-09-22,2340.61542557175,20440.936538437734,-563.6139988912505,499,mvo
2021-09-23,19836.46421862372,19035.036470505016,-887.1751268848052,499,mvo
2021-09-24,-14547.844758342273,17616.636195393967,-1508.7571359871692,499,mvo
2021-09-27,7933.256245158847,20000.000342878575,499.9999996119196,499,mvo
2021-09-28,-2864.454002777567,19392.79836818828,682.9512604570592,499,mvo
2021-09-29,2353.7685011946123,19265.577153929484,669.1940058693406,499,mvo
2021-09-30,-4561.525753185512,18626.14570274031,502.7218823999363,499,mvo
2021-10-01,7780.027927907408,18823.49203176965,647.5066348526644,499,mvo
2021-10-04,-10407.82641686602,19999.992497065232,499.99999533106586,499,mvo
2021-10-05,-1313.2873382384937,20152.3487113484,468.5292531143385,499,mvo
2021-10-06,-2119.488291212582,19949.37250215116,208.80562325530568,499,mvo
2021-10-07,-967.2067624253671,19863.340384634277,143.80090444119972,499,mvo
2021-10-08,-1254.2413331738958,19395.319531051995,242.19153771139128,499,mvo
2021-10-11,623.4454046140851,20000.00008824421,270.46251248246,500,mvo
2021-10-12,727.82797352841,20009.37173617669,708.8709121902792,500,mvo
2021-10-13,3103.8343092811538,19502.299628061675,859.4020242441075,500,mvo
2021-10-14,-4410.838479167845,19145.06734844371,732.0200980676325,500,mvo
2021-10-15,-728.8778120809823,18917.423202028513,877.1907918491869,500,mvo
2021-10-18,8012.755274884236,19999.997572788656,499.99999876406946,500,mvo
2021-10-19,-6484.680205023146,20130.3629354237,-419.10154202149613,500,mvo
2021-10-20,-6086.816966775623,19424.47689691794,-404.61373573354234,500,mvo
2021-10-21,3291.8126033239487,18913.787225507993,-834.6488160135212,500,mvo
2021-10-22,-1020.8753635638311,17804.939264438883,-925.1566428149777,500,mvo
2021-10-25,-10552.533059843923,19999.99872339794,499.99999886962223,500,mvo
2021-10-26,-74.8613519139147,20251.087223528506,1333.2333930431182,500,mvo
2021-10-27,32170.14137501403,20521.35437022546,1688.0383608087932,500,mvo
2021-10-28,-15214.51894386069,18649.52412805522,2367.3482964850186,500,mvo
2021-10-29,-9955.348408209225,17774.699139565007,2171.127496226663,500,mvo
2021-11-01,14501.094535057351,20000.00027236324,499.9999993331694,500,mvo
2021-11-02,3413.0807402469577,19474.00297003774,561.8953997937633,500,mvo
2021-11-03,-5143.793864406791,19011.069164035707,624.1547620283001,500,mvo
2021-11-04,5296.370814489535,18559.315999664148,91.35418991137757,500,mvo
2021-11-05,9663.61856830814,17989.85052537058,137.9748706477348,500,mvo
2021-11-08,5786.681460242921,20000.00017557361,499.9999869835684,500,mvo
2021-11-09,1079.5494157819903,20029.563606356605,909.5963583079113,500,mvo
2021-11-10,532.3771535443283,19545.37452421388,837.6724136770611,500,mvo
2021-11-11,-4879.962287604813,19165.25277006221,787.5103411982927,500,mvo
2021-11-12,14813.920718739671,19039.426370411722,956.8286904530966,500,mvo
2021-11-15,-6733.33655590191,19999.999968365246,499.99999361311166,500,mvo
2021-11-16,12739.300673854728,20785.69912967907,-240.52761284384385,500,mvo
2021-11-17,-408.5765321173988,19967.755669894093,-26.10144287420193,500,mvo
2021-11-18,-2739.9750534793907,19202.772066575566,-20.881740651350842,500,mvo
2021-11-19,-4692.900677195431,19460.92549444691,-202.20709247301085,500,mvo
2021-11-22,-16279.356897280199,20000.000201444796,499.9999966537367,500,mvo
2021-11-23,10605.424391282844,19253.535896139772,969.1201021302687,500,mvo
2021-11-24,-14306.697502284811,18985.844403984593,232.23758194863538,500,mvo
2021-11-26,43607.595477825875,18577.840306332477,662.8295692196558,500,mvo
2021-11-29,12320.743874905953,19999.999575245398,-500.000000247264,500,mvo
2021-11-30,4876.938874917722,19353.199943851905,-625.5087936970187,500,mvo
2021-12-01,-11333.843548359913,18482.817317076897,-821.024708505976,500,mvo
2021-12-02,18632.553539492586,18979.834363934817,-636.8219852035835,500,mvo
2021-12-03,-9822.817730816789,18516.3094741586,-742.6417280373614,500,mvo
2021-12-06,21890.86826203069,19999.998136672428,-500.00000251932,500,mvo
2021-12-07,2832.7208647287052,19906.72586772706,-619.6803862741575,500,mvo
2021-12-08,-1755.0965443161333,19658.947835474937,-641.8082564573783,500,mvo
